year,idrbd,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
2017,111,2,ESCUELA GABRIELA MISTRAL,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2022589062,-7014140773,1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,112,0,ESCUELA EDUARDO LLANOS,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2021447631,-7013585907,1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,113,9,ESCUELA ALMIRANTE PATRICIO LYNCH,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2023315557,-7013769815,1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,114,7,ESCUELA PLACIDO VILLARROEL,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2022023544,-7014411378,1,10,110,0,0,0,0,0,0,0,1,1,7,ECUMENICA,GRATUITO,SIN INFORMACION
2017,115,5,ESCUELA JAVIERA CARRERA VERDUGO,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2021947136,-701519483,0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,GRATUITO
2017,116,3,COLEGIO REPUBLICA DE CROACIA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-202272806,-7013484972,1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,117,1,ESCUELA PAULA JARAQUEMADA ALQUIZAR,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2022039846,-7014624448,1,10,110,214,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,119,8,ESCUELA CENTENARIO,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-202135148,-7014512072,1,10,110,214,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,120,1,LICEO COM.Y TEC.ARTURO PRAT CHACON,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-202095485,-7014359634,0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,GRATUITO
2017,122,8,ESCUELA THILDA PORTILLO OLIVARES,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2023621356,-7014101074,1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,123,6,COLEGIO ESPANA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-202397204,-7012885318,1,10,110,165,214,363,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,124,4,LICEO LUIS CRUZ MARTINEZ,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-202419955,-701374329,1,310,510,610,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,125,2,ESCUELA PROFESOR MANUEL CASTRO RAMOS,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2024541641,-7013812103,1,10,110,310,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,126,0,COLEGIO REPUBLICA DE ITALIA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2024359886,-7013149205,1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,127,9,LICEO MARIA AUXILIADORA,,70083600,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2022232531,-7014838116,0,110,310,0,0,0,0,0,0,0,1,1,2,,GRATUITO,$50.001 A $100.000
2017,128,7,JARDIN INFANTIL LITTLE GARDEN,,77385380,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,129,5,LICEO SUPERIOR GABRIELA MISTRAL,17813224,,0,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-202210866,-7015143279,0,110,310,0,0,0,0,0,0,0,1,1,2,,$1.000 A $10.000,$10.001 A $25.000
2017,130,9,COLEGIO NORTH COLLEGE,,77193390,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2022346373,-7014422847,0,110,310,0,0,0,0,0,0,0,1,1,1,,$1.000 A $10.000,$25.001 A $50.000
2017,131,7,LICEO PARTICULAR MIXTO ESCASCE,,76159499,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2022463663,-7014818092,0,110,310,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,132,5,LICEO ACADEMIA IQUIQUE,,76040981,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2033293869,-7013943264,0,10,110,310,0,0,0,0,0,0,1,1,1,,GRATUITO,$50.001 A $100.000
2017,133,3,COLEGIO ADVENTISTA DE IQUIQUE,,65102261,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2022514112,-7014849999,1,10,110,310,0,0,0,0,0,0,1,1,7,ADVENTISTA,GRATUITO,GRATUITO
2017,134,1,LICEO ATENEA,,76196084,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2021558387,-7015438513,1,110,310,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,136,8,J.  I.  CAPULLITO,14133877,,0,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,-20215338,-7013811,0,10,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,$25.001 A $50.000
2017,138,4,COLEGIO HERMANOS CARRERA,,,9,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,139,2,JARDIN INFANTIL CONEJITO,,76231708,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-20214958,-7015338,0,10,0,0,0,0,0,0,0,0,1,1,9,,SIN INFORMACION,SIN INFORMACION
2017,143,0,LICEO TRINITY COLLEGE,,76551170,1,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,144,9,COLEGIO IQUIQUE YOUNG SCHOOL,,76165753,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2022387684,-7014311631,0,110,310,0,0,0,0,0,0,0,1,1,1,,GRATUITO,$10.001 A $25.000
2017,145,7,HISPANO BRITANICO,,,9,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,147,3,COLEGIO DON BOSCO,,80230500,1,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,148,1,IQUIQUE ENGLISH COLLEGE,,,9,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,150,3,LICEO AMERICAN COLLEGE,9978229,,0,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,151,1,CINDERELLA S SCHOOL,20046420,,0,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,154,6,ESCUELA BASICA FRONTERIZA,,69010200,1,1,14,1404,HUARA,11,IQUIQUE,2,1,1,-1999683059,-6977273855,0,110,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,156,2,ESCUELA PISAGUA,,69010200,1,1,14,1404,HUARA,11,IQUIQUE,2,1,1,-1959798472,-7021297554,1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,158,9,ESCUELA CHIAPA,,69010200,1,1,14,1404,HUARA,11,IQUIQUE,2,1,1,-1953726055,-6920697246,0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,159,7,ESCUELA JAINA,,69010200,1,1,14,1404,HUARA,11,IQUIQUE,2,1,1,-1955465319,-692460139,0,110,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,160,0,ESCUELA PACHICA,,69010200,1,1,14,1404,HUARA,11,IQUIQUE,2,1,1,-198662857,-6943372094,0,10,110,0,0,0,0,0,0,0,1,1,7,RELIGIOSIDAD IND�GENA,GRATUITO,GRATUITO
2017,161,9,LICEO DE HUARA,,69010200,1,1,14,1404,HUARA,11,IQUIQUE,2,1,1,-1999687623,-6977263362,1,10,110,310,410,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,162,7,ESCUELA SIBAYA,,69010200,1,1,14,1404,HUARA,11,IQUIQUE,2,1,1,-1978314674,-6917414199,0,110,0,0,0,0,0,0,0,0,1,1,3,,GRATUITO,GRATUITO
2017,165,1,ESCUELA CHUSMIZA,,69010200,1,1,14,1404,HUARA,11,IQUIQUE,2,1,1,-1968392498,-6918839342,0,110,0,0,0,0,0,0,0,0,1,1,3,,GRATUITO,GRATUITO
2017,167,8,ESCUELA CAMINA,,69251100,1,1,14,1402,CAMI�A,11,IQUIQUE,2,1,1,-1931180284,-6942463304,0,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,168,6,ESCUELA CUISAMA,,69251100,1,1,14,1402,CAMI�A,11,IQUIQUE,2,1,1,-1932428925,-6945581332,0,110,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,169,4,ESCUELA QUISTAGAMA,,69251100,1,1,14,1402,CAMI�A,11,IQUIQUE,2,1,1,-193461294,-6950804787,0,110,0,0,0,0,0,0,0,0,1,1,7,DIFERENTES RELIGIONES,GRATUITO,GRATUITO
2017,170,8,ESCUELA NAMA,,69251100,1,1,14,1402,CAMI�A,11,IQUIQUE,2,1,1,-1919146313,-6941265239,0,110,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,171,6,ESCUELA APAMILCA,,69251100,1,1,14,1402,CAMI�A,11,IQUIQUE,2,1,1,-1930951547,-6939277741,0,110,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,172,4,ESCUELA CHAPIQUILTA,,69251100,1,1,14,1402,CAMI�A,11,IQUIQUE,2,1,1,-1931772736,-6941053135,0,110,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,173,2,ESCUELA MOQUELLA,,69251100,1,1,14,1402,CAMI�A,11,IQUIQUE,2,1,1,-1935069174,-6951497425,0,110,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,174,0,ESCUELA FRANCIA,,69251100,1,1,14,1402,CAMI�A,11,IQUIQUE,2,1,1,-1938155623,-695714746,0,110,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,175,9,ESCUELA YALA YALA,,69251100,1,1,14,1402,CAMI�A,11,IQUIQUE,2,1,1,-1931468694,-6940009088,0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,177,5,ESCUELA BASICA CARIQUIMA,,69250400,1,1,14,1403,COLCHANE,11,IQUIQUE,2,1,1,-1946720962,-6864475591,1,110,0,0,0,0,0,0,0,0,1,1,3,,GRATUITO,GRATUITO
2017,178,3,LICEO TECNICO PROFESIONAL COLCHANE,,69250400,1,1,14,1403,COLCHANE,11,IQUIQUE,2,1,1,-1927647789,-6863913529,1,10,110,310,510,610,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,179,1,ESCUELA BASICA MAUQUE,,69250400,1,1,14,1403,COLCHANE,11,IQUIQUE,2,1,1,-1932282248,-6888055631,0,110,0,0,0,0,0,0,0,0,1,1,3,,GRATUITO,GRATUITO
2017,184,8,ESCUELA BASICA ESCAPINA,,69250400,1,1,14,1403,COLCHANE,11,IQUIQUE,2,1,1,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,185,6,ESCUELA BASICA PISIGA-CHOQUE,,69250400,1,1,14,1403,COLCHANE,11,IQUIQUE,2,1,1,-1930284133,-6861779439,0,110,0,0,0,0,0,0,0,0,1,1,3,,GRATUITO,GRATUITO
2017,186,4,ESCUELA BASICA ENQUELGA,,69250400,1,1,14,1403,COLCHANE,11,IQUIQUE,2,1,1,-1922896694,-6880449122,0,110,0,0,0,0,0,0,0,0,1,1,3,,GRATUITO,GRATUITO
2017,187,2,ESCUELA VERTIENTE DEL SABER,,69010400,1,1,14,1405,PICA,11,IQUIQUE,2,1,0,-204885203,-6932209257,1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,188,0,ESC. MATILLA DE NUEVA EXTREMADURA,,69010400,1,1,14,1405,PICA,11,IQUIQUE,2,1,1,-2051322714,-6935998544,1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,191,0,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,,71497400,1,1,14,1401,POZO ALMONTE,11,IQUIQUE,1,1,1,-2025289061,-6978459028,1,310,363,410,510,610,0,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO
2017,192,9,ESCUELA BASICA MAMINA,,71497400,1,1,14,1401,POZO ALMONTE,11,IQUIQUE,1,1,1,-2007103589,-6921761041,1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,193,7,ESCUELA BASICA POZO ALMONTE,,71497400,1,1,14,1401,POZO ALMONTE,11,IQUIQUE,1,1,1,-2025163402,-6978651789,1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,195,3,ESCUELA BASICA LA TIRANA,,71497400,1,1,14,1401,POZO ALMONTE,11,IQUIQUE,1,1,1,-2033764657,-6965542835,1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,196,1,ESCUELA BASICA HUATACONDO,,71497400,1,1,14,1401,POZO ALMONTE,11,IQUIQUE,1,1,1,-2092778172,-6905335706,1,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,198,8,ESCUELA BASICA LA HUAYCA,,71497400,1,1,14,1401,POZO ALMONTE,11,IQUIQUE,1,1,1,-2043056843,-6956046286,1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,10885,5,ACADEMIA DE ESTUDIOS TARAPACA,,,9,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,10889,8,CENTRO TRAT. INTEG. LOS TAMARUGOS,,70267000,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-20240578,-7013739,0,212,215,217,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,10898,7,JARDIN INFANTIL ACUARELA,,76167607,1,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,-20240171,-7014012,0,10,0,0,0,0,0,0,0,0,1,1,2,,MAS DE $100.000,MAS DE $100.000
2017,10900,2,COLEGIO LIRIMA,,79597140,1,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,-20275966,-7012649,0,10,110,310,0,0,0,0,0,0,1,1,1,,MAS DE $100.000,MAS DE $100.000
2017,10901,0,COLEGIO SAN MARTIN,,78662740,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2021050991,-7014571502,0,110,310,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,10902,9,JARDIN INFANTIL PETER PAN,6103528,,0,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,10904,5,ESCUELA BASICA PARAJALLA,,,9,1,14,1403,COLCHANE,11,IQUIQUE,2,1,0,,,0,0,0,0,0,0,0,0,0,0,0,2,9,,SIN INFORMACION,SIN INFORMACION
2017,10905,3,ESCUELA BASICA FUERTE BAQUEDANO,,71497400,1,1,14,1401,POZO ALMONTE,11,IQUIQUE,1,1,1,-2013747569,-6975186272,1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,10914,2,JARDIN INFANTIL LOS CARINOSITOS,,76775810,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,10916,9,ESCUELA CALETA CHANAVAYITA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,1,-2070451112,-701878129,1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,10917,7,LICEO S.S JUAN PABLO SEGUNDO,,69265100,1,1,11,1107,ALTO HOSPICIO,11,IQUIQUE,2,1,0,-2027140827,-7009438285,0,110,310,510,0,0,0,0,0,0,1,1,7,CRISTIANA,GRATUITO,GRATUITO
2017,12503,2,JARDIN INF. LOS OSITOS CARINOSITOS,22912081,,0,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,,,0,0,0,0,0,0,0,0,0,0,0,3,2,,GRATUITO,GRATUITO
2017,12504,0,COLEGIO LITTLE COLLEGE,,77384140,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2021493215,-7013876586,0,110,310,410,610,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,12506,7,J.  I.  INTI,,77876660,1,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,12509,1,LICEO PDTE. ANIBAL PINTO GARMENDIA.,,76775810,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2022408138,-7014101057,0,10,110,310,0,0,0,0,0,0,1,1,2,,$25.001 A $50.000,$25.001 A $50.000
2017,12510,5,JARDIN INFANTIL PAPELUCHO,2854840,,0,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-20245996,-70132164,0,10,0,0,0,0,0,0,0,0,1,1,3,,GRATUITO,GRATUITO
2017,12511,3,JARDIN INFANTIL NOCTILUCAS,,65115457,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-202503,-7013048,0,10,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,12515,6,COLEGIO NUSTA KORI,,76166619,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2021907508,-7015232513,1,110,310,0,0,0,0,0,0,0,1,1,7,LAICO,GRATUITO,GRATUITO
2017,12518,0,COLEGIO DIOCESANO OBISPO LABBE,,65099420,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2020908793,-7014553168,0,10,110,310,410,510,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,12519,9,JARDIN INFANTIL CAPERUZO,,76667570,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-20237356,-7013122,0,10,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,12522,9,J.  I.  BETEL,,,9,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,,,0,0,0,0,0,0,0,0,0,0,0,2,9,,SIN INFORMACION,SIN INFORMACION
2017,12523,7,JARDIN INFANTIL EMMANUELITO,,78209370,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-20225616,-7014422,0,10,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,12529,6,JARDIN INFANTIL LA PANDILLA,,78862150,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,,,0,0,0,0,0,0,0,0,0,0,0,2,9,,SIN INFORMACION,SIN INFORMACION
2017,12533,4,COLEGIO SAMCA ARUMANTI,1504741,,0,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,12534,2,LICEO COLEGIO METODISTA ROBERT JOHNSON,,70002810,1,1,11,1107,ALTO HOSPICIO,11,IQUIQUE,3,2,1,-2026131127,-7009941539,1,10,110,410,510,610,0,0,0,0,1,1,3,,GRATUITO,GRATUITO
2017,12535,0,INST.AGRICOLA  ARTESANAL KUSAYAPU,,70002810,1,1,14,1404,HUARA,11,IQUIQUE,3,2,1,,,0,0,0,0,0,0,0,0,0,0,0,2,9,,SIN INFORMACION,SIN INFORMACION
2017,12538,5,ESCUELA CHIPANA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2025196864,-7012559067,1,10,110,214,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,12542,3,ESCUELA CALETA SAN MARCOS,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,1,-211150052,-7012376072,1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,12545,8,JARDIN INFANTIL EL LLAMITO,,76164652,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-20213945,-7014373,0,10,0,0,0,0,0,0,0,0,1,1,7,LIBRE IDEOLOGIA,GRATUITO,GRATUITO
2017,12548,2,ANEXO J. INF. LOS OSITOS CARINOSITOS,22912081,,0,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,,,0,0,0,0,0,0,0,0,0,0,0,3,2,,GRATUITO,GRATUITO
2017,12550,4,OASIS EN EL DESIERTO,,71497400,1,1,14,1401,POZO ALMONTE,11,IQUIQUE,1,1,1,-2062728853,-6957381064,1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,12551,2,LIC.PADRE ALBERTO HURTADO CRUCHAGA,,69010400,1,1,14,1405,PICA,11,IQUIQUE,2,1,0,-2049005595,-6933425026,1,310,363,510,710,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,12552,0,ESCUELA HUAVI�A,,69010200,1,1,14,1404,HUARA,11,IQUIQUE,2,1,1,-1978314674,-6917414199,0,110,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,12553,9,J.  I.  ANATIRI,,71950500,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-20206327,-7013712,0,10,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,12554,7,ESCUELA DE SOGA,,69010200,1,1,14,1404,HUARA,11,IQUIQUE,2,1,1,-1946721578,-6933784603,0,110,0,0,0,0,0,0,0,0,1,1,3,,GRATUITO,GRATUITO
2017,12556,3,JARDIN INFANTIL PECECITO DORADO,,77919100,1,1,11,1101,IQUIQUE,11,IQUIQUE,4,3,0,-2023942,-70132065,0,0,0,0,0,0,0,0,0,0,0,1,9,,SIN INFORMACION,SIN INFORMACION
2017,12559,8,COLEGIO LITTLE STARS,,76171203,1,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,-2023959522,-7014056797,0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,$25.001 A $50.000
2017,12560,1,ESCUELA ANEXO REPUBLICA DE CROACIA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,12562,8,ESCUELA LAONZANA,,69010200,1,1,14,1404,HUARA,11,IQUIQUE,2,1,1,-1985689051,-6934556852,0,110,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
