comunadondeseimpartelacarreraopr,nombreregion,duraciónensemestres,puntaje,pnem,prank,ingreso2,valordearancel,ingreso,area,year
Iquique,Región de Tarapacá,10,533,,,14,1.741.000,83,Business,2011
Valparaíso,Región de Valparaíso,10,649,641,666,106,3.950.000,632,Business,2016
Providencia,Región Metropolitana,10,552,,,2,1.430.000,63,Business,2008
Providencia,Región Metropolitana,10,531,,,11,1.563.000,61,Business,2010
Concepción,Región del Bío-Bío,5,431,,,15,920.000,92,Business,2011
San Miguel,Región Metropolitana,8,494,,,1,1.157.000,13,Business,2006
Santiago,Región Metropolitana,10,517,553,533,12,2.788.000,29,Business,2018
Santiago,Región Metropolitana,8,511,548,526,23,2.563.000,31,Business,2018
Osorno,Región de Los Lagos,10,545,,,10,1.529.000,152,Business,2012
Antofagasta,Región de Antofagasta,10,554,588,588,15,2.316.000,102,Business,2013
Providencia,Región Metropolitana,6,450,450,450,,1.200.000,30,Business,2017
Temuco,Región de La Araucanía,9,550,,,53,1.832.000,249,Business,2012
Providencia,Región Metropolitana,10,525,522,544,11,3.850.000,92,Business,2018
Valparaíso,Región de Valparaíso,10,557,578,607,7,2.122.000,85,Business,2014
San Joaquín,Región Metropolitana,10,567,533,543,27,2.237.000,112,Business,2018
Valparaíso,Región de Valparaíso,10,568,,,103,1.560.000,639,Business,2008
Providencia,Región Metropolitana,8,559,563,591,95,2.337.222,332,Business,2013
Viña del Mar,Región de Valparaíso,15,578,,,2,1.867.320,13,Business,2015
Viña del Mar,Región de Valparaíso,5,447,,,5,850.000,18,Business,2009
Providencia,Región Metropolitana,10,530,525,549,70,2.280.991,308,Business,2013
Coquimbo,Región de Coquimbo,10,616,635,676,94,3.266.000,462,Business,2016
Viña del Mar,Región de Valparaíso,8,428,,,45,1.838.727,138,Business,2017
Providencia,Región Metropolitana,8,418,475,,12,2.433.900,49,Business,2015
Valparaíso,Región de Valparaíso,10,563,558,576,45,2.790.000,129,Business,2018
Santiago,Región Metropolitana,10,548,533,548,83,2.898.000,486,Business,2018
Santiago,Región Metropolitana,9,561,512,520,164,3.917.920,665,Business,2015
Chillán,Región de Ñuble,10,606,643,679,68,2.419.000,328,Business,2014
Providencia,Región Metropolitana,8,547,565,600,22,2.930.000,87,Business,2019
Viña del Mar,Región de Valparaíso,10,641,,,149,3.000.000,774,Business,2008
Vitacura,Región Metropolitana,10,653,655,684,72,3.472.000,425,Business,2013
Antofagasta,Región de Antofagasta,10,562,,,50,2.190.000,50,Business,2008
Valdivia,Región de los Ríos,10,610,618,653,92,3.298.000,560,Business,2017
Coquimbo,Región de Coquimbo,10,595,,,88,2.560.450,365,Business,2010
Providencia,Región Metropolitana,,463,,,5,1.080.000,182,Business,2009
Santiago,Región Metropolitana,10,680,,,7,1.802.000,38,Business,2009
Antofagasta,Región de Antofagasta,10,544,584,643,5,2.832.000,30,Business,2018
Iquique,Región de Tarapacá,10,519,,,10,1.708.000,42,Business,2011
Viña del Mar,Región de Valparaíso,8,552,,,14,2.872.013,137,Business,2012
Puerto Montt,Región de Los Lagos,10,594,602,641,66,3.397.000,328,Business,2018
Santiago,Región Metropolitana,10,588,,,46,1.560.000,149,Business,2008
Lo Barnechea,Región Metropolitana,8,588,,,80,3.805.000,386,Business,2009
Valparaíso,Región de Valparaíso,10,574,584,612,104,2.468.000,477,Business,2018
Santiago,Región Metropolitana,8,535,,,19,1.910.000,195,Business,2011
Santiago,Región Metropolitana,6,580,580,618,48,2.342.000,145,Business,2018
Viña del Mar,Región de Valparaíso,8,513,501,514,18,2.898.000,79,Business,2018
Providencia,Región Metropolitana,10,495,,,4,1.300.000,56,Business,2007
Concepción,Región del Bío-Bío,8,536,,,68,1.748.000,344,Business,2012
Santiago,Región Metropolitana,9,477,,,17,830.000,60,Business,2011
Valparaíso,Región de Valparaíso,10,637,628,652,123,4.229.000,665,Business,2018
Coquimbo,Región de Coquimbo,10,546,,,49,2.656.000,98,Business,2012
Puerto Montt,Región de Los Lagos,10,482,,,12,1.215.000,32,Business,2006
Temuco,Región de La Araucanía,8,534,524,541,18,2.244.000,138,Business,2017
Santiago,Región Metropolitana,4,475,,,87,940.000,286,Business,2011
Arica,Región de Arica y Parinacota,10,577,619,653,13,2.849.000,103,Business,2015
Las Condes,Región Metropolitana,8,547,526,536,44,2.431.296,330,Business,2013
Santiago,Región Metropolitana,10,718,705,737,390,5.083.000,2381,Business,2018
Santiago,Región Metropolitana,5,406,,,10,930.000,55,Business,2011
Concepción,Región del Bío-Bío,10,621,648,687,92,2.556.900,538,Business,2015
Concepción,Región del Bío-Bío,10,583,,,115,2.247.000,555,Business,2011
Talca,Región del Maule,8,605,,,83,2.008.000,405,Business,2009
San Joaquín,Región Metropolitana,10,546,533,548,53,2.380.000,53,Business,2013
Las Condes,Región Metropolitana,8,628,636,644,40,4.737.065,253,Business,2017
Copiapó,Región de Atacama,10,554,566,585,46,2.872.000,199,Business,2017
La Serena,Región de Coquimbo,10,583,600,628,64,2.485.000,355,Business,2013
Concepción,Región del Bío-Bío,8,563,,,83,1.680.000,363,Business,2011
Providencia,Región Metropolitana,8,529,504,521,93,2.642.326,389,Business,2015
La Serena,Región de Coquimbo,10,586,606,635,68,2.609.000,363,Business,2014
Providencia,Región Metropolitana,8,533,527,549,108,2.692.621,338,Business,2016
Las Condes,Región Metropolitana,9,505,478,,6,3.500.000,92,Business,2016
Valparaíso,Región de Valparaíso,8,572,,,99,1.850.000,548,Business,2008
Santiago,Región Metropolitana,10,724,702,740,445,4.805.400,2237,Business,2016
Temuco,Región de La Araucanía,10,533,,,12,2.100.000,13,Business,2011
Viña del Mar,Región de Valparaíso,10,576,,,2,2.724.600,112,Business,2014
Iquique,Región de Tarapacá,10,514,,,21,2.623.900,35,Business,2019
La Serena,Región de Coquimbo,9,566,560,584,46,2.229.000,174,Business,2017
Temuco,Región de La Araucanía,5,489,,,34,1.201.287,104,Business,2014
Santiago,Región Metropolitana,10,517,,,4,1.445.000,148,Business,2006
Lo Barnechea,Región Metropolitana,10,638,604,610,118,6.584.720,1877,Business,2019
Arica,Región de Arica y Parinacota,10,559,580,588,21,3.339.000,142,Business,2019
Temuco,Región de La Araucanía,9,504,535,505,34,2.500.315,110,Business,2019
Santiago,Región Metropolitana,10,646,661,728,198,3.182.000,843,Business,2017
Antofagasta,Región de Antofagasta,10,506,,,10,1.850.000,25,Business,2009
Puerto Montt,Región de Los Lagos,8,538,538,586,22,4.666.500,27,Business,2015
Las Condes,Región Metropolitana,2,619,594,597,75,4.959.203,86,Business,2019
Santiago,Región Metropolitana,10,500,498,511,32,2.672.000,115,Business,2017
Valdivia,Región de los Ríos,10,532,517,521,37,1.951.000,155,Business,2013
Antofagasta,Región de Antofagasta,10,575,,,89,2.498.000,480,Business,2009
Arica,Región de Arica y Parinacota,9,547,585,601,16,1.743.000,85,Business,2013
San Joaquín,Región Metropolitana,10,581,558,569,39,3.176.000,189,Business,2018
Providencia,Región Metropolitana,5,456,,,18,800.000,11,Business,2009
Valparaíso,Región de Valparaíso,10,610,630,673,88,2.944.000,407,Business,2016
Concepción,Región del Bío-Bío,8,520,527,546,11,2.136.000,41,Business,2014
Temuco,Región de La Araucanía,5,480,,,5,864.000,74,Business,2006
Lo Barnechea,Región Metropolitana,2,573,524,525,195,5.704.463,217,Business,2016
Concepción,Región del Bío-Bío,10,634,640,675,129,3.148.000,583,Business,2015
Viña del Mar,Región de Valparaíso,8,526,,,11,2.257.771,48,Business,2015
San Joaquín,Región Metropolitana,10,592,559,566,30,2.810.300,172,Business,2016
Viña del Mar,Región de Valparaíso,15,437,,,11,2.029.310,39,Business,2017
Las Condes,Región Metropolitana,9,500,,,2,2.180.000,23,Business,2013
San Joaquín,Región Metropolitana,8,559,,,25,2.377.000,26,Business,2012
Chillán,Región de Ñuble,8,618,654,692,52,2.350.000,238,Business,2019
La Florida,Región Metropolitana,9,465,,,27,1.267.000,98,Business,2010
Santiago,Región Metropolitana,8,547,,,14,2.784.000,148,Business,2011
Osorno,Región de Los Lagos,10,526,,,36,1.040.000,247,Business,2007
Viña del Mar,Región de Valparaíso,,438,,,10,810.000,40,Business,2009
Valdivia,Región de los Ríos,10,552,563,589,45,2.280.000,192,Business,2014
Valparaíso,Región de Valparaíso,10,611,,,103,2.060.000,600,Business,2010
Providencia,Región Metropolitana,10,555,526,544,31,2.727.470,99,Business,2017
Temuco,Región de La Araucanía,9,558,,,54,1.745.000,253,Business,2011
Valparaíso,Región de Valparaíso,9,552,,,41,2.045.000,213,Business,2011
Curicó,Región del Maule,5,541,,,2,840.000,67,Business,2006
Antofagasta,Región de Antofagasta,10,551,,,45,2.581.000,149,Business,2011
Providencia,Región Metropolitana,10,553,530,530,17,2.100.000,73,Business,2017
Valparaíso,Región de Valparaíso,10,628,621,642,126,4.443.000,711,Business,2019
Melipilla,Región Metropolitana,9,521,539,,6,2.000.000,99,Business,2016
Talca,Región del Maule,8,518,,,37,1.425.000,102,Business,2009
Santiago,Región Metropolitana,8,559,,,8,1.500.000,28,Business,2008
Santiago,Región Metropolitana,8,427,,,11,1.000.000,176,Business,2009
Viña del Mar,Región de Valparaíso,4,453,,,12,556.000,29,Business,2009
Valparaíso,Región de Valparaíso,10,654,665,700,121,3.375.000,620,Business,2013
San Joaquín,Región Metropolitana,10,537,501,508,29,2.415.700,72,Business,2014
Santiago,Región Metropolitana,10,639,,,24,2.137.700,173,Business,2009
Santiago,Región Metropolitana,8,470,,,60,1.944.000,60,Business,2012
Santiago,Región Metropolitana,10,582,,,50,1.770.000,248,Business,2010
Antofagasta,Región de Antofagasta,10,513,,,24,2.880.100,126,Business,2017
Santiago,Región Metropolitana,10,636,,,251,3.363.636,1045,Business,2010
Los Ángeles,Región del Bío-Bío,10,587,596,624,71,3.419.000,306,Business,2017
Los Ángeles,Región del Bío-Bío,10,529,,,22,2.664.000,94,Business,2017
Santiago,Región Metropolitana,10,525,,,8,2.782.300,198,Business,2017
Los Ángeles,Región del Bío-Bío,10,526,,,12,1.978.000,90,Business,2013
Temuco,Región de La Araucanía,4,558,558,596,10,1.158.000,148,Business,2017
Coquimbo,Región de Coquimbo,10,607,628,665,109,3.895.000,526,Business,2019
Santiago,Región Metropolitana,8,532,534,489,17,3.453.000,85,Business,2018
Valparaíso,Región de Valparaíso,9,540,539,553,46,2.341.800,136,Business,2013
Viña del Mar,Región de Valparaíso,10,506,,,53,3.436.271,245,Business,2017
Viña del Mar,Región de Valparaíso,8,553,553,570,33,2.990.000,109,Business,2019
Puerto Montt,Región de Los Lagos,10,560,,,169,2.480.000,178,Business,2009
La Serena,Región de Coquimbo,10,517,,,26,2.822.600,176,Business,2018
Temuco,Región de La Araucanía,5,460,,,36,1.368.566,104,Business,2015
Santiago,Región Metropolitana,10,578,,,29,2.006.300,148,Business,2012
Santiago,Región Metropolitana,10,514,,,35,2.250.000,97,Business,2009
Viña del Mar,Región de Valparaíso,8,547,531,552,27,2.564.401,63,Business,2015
Santiago,Región Metropolitana,5,482,382,380,1,1.550.000,83,Business,2015
Antofagasta,Región de Antofagasta,10,551,576,599,27,2.798.000,132,Business,2014
Providencia,Región Metropolitana,,394,,,10,920.000,75,Business,2009
Valparaíso,Región de Valparaíso,8,576,,,83,2.035.000,467,Business,2009
Rancagua,Región del Gral. B. O`Higgins,5,425,,,2,1.010.000,64,Business,2009
Iquique,Región de Tarapacá,8,546,,,2,1.300.000,17,Business,2007
Providencia,Región Metropolitana,8,537,529,552,91,2.504.574,379,Business,2014
Santiago,Región Metropolitana,10,548,,,4,1.832.000,161,Business,2010
Santiago,Región Metropolitana,10,583,550,569,156,2.863.000,607,Business,2018
Providencia,Región Metropolitana,10,509,509,509,8,3.650.000,106,Business,2016
Rancagua,Región del Gral. B. O`Higgins,4,475,,,1,1.250.000,16,Business,2011
Valparaíso,Región de Valparaíso,10,521,,,29,1.450.000,101,Business,2007
Temuco,Región de La Araucanía,8,481,,,3,1.197.000,67,Business,2006
Macul,Región Metropolitana,10,746,745,783,355,5.398.000,2070,Business,2016
Santiago,Región Metropolitana,9,523,,,44,1.860.000,160,Business,2009
San Miguel,Región Metropolitana,8,512,,,11,2.048.300,41,Business,2013
Santiago,Región Metropolitana,5,552,,,1,905.000,60,Business,2006
Melipilla,Región Metropolitana,9,471,539,,2,2.990.000,78,Business,2016
Santiago,Región Metropolitana,10,649,658,722,181,3.083.000,739,Business,2016
Arica,Región de Arica y Parinacota,10,555,,,49,1.700.000,297,Business,2008
Providencia,Región Metropolitana,10,586,578,607,127,2.921.858,613,Business,2017
Los Ángeles,Región del Bío-Bío,8,565,592,620,46,1.998.000,182,Business,2016
Providencia,Región Metropolitana,10,450,450,450,,,2,Business,2017
Providencia,Región Metropolitana,10,493,515,524,6,3.990.000,57,Business,2019
Concepción,Región del Bío-Bío,10,528,504,505,76,4.025.100,417,Business,2019
Puerto Montt,Región de Los Lagos,10,531,,,8,1.580.000,134,Business,2008
Puerto Montt,Región de Los Lagos,8,554,520,528,20,5.067.600,61,Business,2017
Providencia,Región Metropolitana,10,561,,,5,3.214.671,50,Business,2015
Santiago,Región Metropolitana,8,530,,,15,1.250.000,154,Business,2007
Santiago,Región Metropolitana,9,605,,,50,3.446.886,450,Business,2012
Iquique,Región de Tarapacá,10,557,557,576,50,2.075.209,248,Business,2015
Providencia,Región Metropolitana,,484,,,13,1.000.000,472,Business,2010
Valparaíso,Región de Valparaíso,9,561,,,80,1.720.000,298,Business,2007
Macul,Región Metropolitana,10,768,,,236,4.470.000,1710,Business,2011
San Miguel,Región Metropolitana,8,505,,,19,1.360.000,106,Business,2009
Talca,Región del Maule,10,630,655,698,78,3.041.000,432,Business,2018
Viña del Mar,Región de Valparaíso,8,529,517,534,24,2.692.621,76,Business,2016
Santiago,Región Metropolitana,9,561,,,13,1.940.000,314,Business,2010
Arica,Región de Arica y Parinacota,10,548,578,602,21,2.138.000,134,Business,2018
Rengo,Región del Gral. B. O`Higgins,10,529,,,15,1.300.000,15,Business,2006
Macul,Región Metropolitana,10,760,,,239,4.700.000,1770,Business,2012
Santiago,Región Metropolitana,9,645,,,69,1.983.050,272,Business,2007
Concepción,Región del Bío-Bío,8,535,532,542,48,2.134.000,197,Business,2017
Santiago,Región Metropolitana,8,531,,,18,1.660.000,163,Business,2007
Copiapó,Región de Atacama,6,555,559,605,18,1.544.000,57,Business,2016
Providencia,Región Metropolitana,10,611,,,32,3.580.000,240,Business,2011
Iquique,Región de Tarapacá,10,577,580,619,9,1.871.720,60,Business,2018
Lo Barnechea,Región Metropolitana,2,574,536,539,179,5.374.000,195,Business,2015
Valparaíso,Región de Valparaíso,10,552,550,569,88,2.036.000,477,Business,2013
Santiago,Región Metropolitana,10,630,,,37,1.805.250,206,Business,2007
Temuco,Región de La Araucanía,5,480,,,6,1.081.745,93,Business,2010
Santiago,Región Metropolitana,10,680,689,762,222,4.022.000,928,Business,2016
Viña del Mar,Región de Valparaíso,8,546,518,524,19,2.407.779,64,Business,2014
Viña del Mar,Región de Valparaíso,10,534,,,43,2.868.320,239,Business,2013
Vitacura,Región Metropolitana,,548,,,3,1.125.000,16,Business,2009
Viña del Mar,Región de Valparaíso,10,637,,,218,3.647.444,954,Business,2011
Talca,Región del Maule,10,598,619,646,77,2.415.700,174,Business,2014
Concepción,Región del Bío-Bío,10,566,533,533,74,2.925.700,231,Business,2019
Providencia,Región Metropolitana,10,545,525,541,233,4.478.679,1059,Business,2016
Antofagasta,Región de Antofagasta,10,551,564,590,2,2.637.000,5,Business,2016
Las Condes,Región Metropolitana,8,547,541,558,43,3.294.713,142,Business,2014
Santiago,Región Metropolitana,10,537,,,60,2.750.000,307,Business,2008
Puerto Montt,Región de Los Lagos,10,536,521,540,51,3.190.000,202,Business,2016
Antofagasta,Región de Antofagasta,10,545,566,562,39,3.136.000,140,Business,2019
Temuco,Región de La Araucanía,9,554,542,551,48,3.525.940,234,Business,2017
Providencia,Región Metropolitana,8,517,,,20,1.360.000,22,Business,2009
Santiago,Región Metropolitana,10,641,,,109,2.233.900,534,Business,2010
Providencia,Región Metropolitana,9,525,,,7,1.300.000,32,Business,2007
Las Condes,Región Metropolitana,2,620,582,584,68,4.737.065,76,Business,2017
Linares,Región del Maule,8,556,554,572,28,3.126.000,86,Business,2018
San Miguel,Región Metropolitana,8,489,,,4,1.360.000,16,Business,2009
Iquique,Región de Tarapacá,10,558,,,20,2.623.900,85,Business,2019
Talca,Región del Maule,9,548,563,579,18,1.740.000,182,Business,2014
Las Condes,Región Metropolitana,8,645,648,661,47,4.425.534,254,Business,2015
Antofagasta,Región de Antofagasta,10,545,530,546,50,3.113.000,154,Business,2016
Recoleta,Región Metropolitana,8,576,532,547,82,4.892.700,335,Business,2016
Santiago,Región Metropolitana,10,598,560,584,125,2.683.000,442,Business,2016
Copiapó,Región de Atacama,10,535,,,41,2.250.000,42,Business,2009
Maipú,Región Metropolitana,10,515,,,9,2.066.000,6,Business,2010
La Serena,Región de Coquimbo,8,562,590,628,63,1.898.000,266,Business,2016
La Serena,Región de Coquimbo,10,583,591,619,66,2.724.000,346,Business,2016
Punta Arenas,Región de Magallanes,10,598,615,642,25,3.558.000,133,Business,2016
Valparaíso,Región de Valparaíso,10,571,,,84,1.758.000,308,Business,2012
Rancagua,Región del Gral. B. O`Higgins,10,592,578,601,56,3.467.250,88,Business,2019
Puerto Montt,Región de Los Lagos,10,557,540,566,48,3.570.000,256,Business,2019
Santiago,Región Metropolitana,10,596,,,38,1.595.000,168,Business,2009
Las Condes,Región Metropolitana,10,683,654,669,129,4.414.964,961,Business,2014
Providencia,Región Metropolitana,5,455,,,15,830.000,108,Business,2011
Santiago,Región Metropolitana,9,501,,,41,1.408.000,482,Business,2010
Valparaíso,Región de Valparaíso,10,575,592,628,15,2.229.000,83,Business,2015
Osorno,Región de Los Lagos,10,548,,,31,1.983.000,212,Business,2011
Chillán,Región de Ñuble,10,600,,,55,2.453.000,186,Business,2008
Iquique,Región de Tarapacá,10,581,609,654,8,1.988.882,42,Business,2017
