Código Establecimiento,Nombre Establecimiento,Dependencia Establecimiento,Nombre Región,Nombre Comuna,Área Geográfica,Niños con Desnutrición,Prevalencia Desnutrición niños,Niñas con Desnutrición,Prevalencia Desnutrición niñas,Niños con Bajo Peso,Prevalencia Bajo Peso niños,Niñas con Bajo Peso,Prevalencia Bajo Peso niñas,Niños con Peso Normal,Prevalencia Peso Normal niños,Niñas con Peso Normal,Prevalencia Peso Normal niñas,Niños con Sobrepeso,Prevalencia Sobrepeso niños,Niñas con Sobrepeso,Prevalencia Sobrepeso niñas,Niños con Obesidad,Prevalencia Obesidad niños,Niñas con Obesidad,Prevalencia Obesidad niñas,Niños con Retraso en Talla,Prevalencia Retraso en talla niños,Niñas con Retraso en talla,Prevalencia Retraso en talla niñas,Total Niños,Total Niñas
12650,L.POLIV. SAGRADO CORAZON DE HOSPICIO,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,4,"0,03",0,"0,00",6,"0,04",7,"0,04",66,"0,44",89,"0,50",43,"0,29",51,"0,29",31,"0,21",30,"0,17",3,"0,02",13,"0,07",150,177
12655,COLEGIO SAN PEDRO,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,0,"0,00",0,"0,00",0,"0,00",1,"0,02",24,"0,42",11,"0,26",20,"0,35",21,"0,50",13,"0,23",9,"0,21",4,"0,07",1,"0,02",57,42
12686,LICEO ACADEMIA NACIONAL,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,0,"0,00",0,"0,00",0,"0,00",1,"0,03",14,"0,41",14,"0,41",12,"0,35",13,"0,38",8,"0,24",6,"0,18",0,"0,00",1,"0,03",34,34
12711,LICEO ACADEMIA SINAI,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,0,"0,00",1,"0,33",1,"0,20",0,"0,00",3,"0,60",1,"0,33",1,"0,20",0,"0,00",0,"0,00",1,"0,33",1,"0,20",0,"0,00",5,3
12719,LICEO PABLO NERUDA,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,1,"0,03",0,"0,00",4,"0,13",2,"0,10",17,"0,53",12,"0,57",8,"0,25",6,"0,29",2,"0,06",1,"0,05",3,"0,09",1,"0,05",32,21
12747,COLEGIO RUPANIC SCHOOL,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,0,"0,00",0,"0,00",0,"0,00",2,"0,05",20,"0,65",18,"0,46",7,"0,23",16,"0,41",4,"0,13",3,"0,08",0,"0,00",4,"0,10",31,39
12749,COLEGIO MARISTA HERMANO FERNANDO,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,0,"0,00",0,"0,00",3,"0,10",4,"0,17",25,"0,86",17,"0,74",0,"0,00",2,"0,09",1,"0,03",0,"0,00",2,"0,07",0,"0,00",29,23
40399,COLEGIO NAZARET,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,0,"0,00",0,"0,00",1,"0,05",2,"0,11",7,"0,33",9,"0,50",6,"0,29",4,"0,22",7,"0,33",3,"0,17",0,"0,00",2,"0,11",21,18
40422,COLEGIO NIRVANA,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,1,"0,03",0,"0,00",0,"0,00",0,"0,00",19,"0,49",24,"0,67",17,"0,44",7,"0,19",2,"0,05",5,"0,14",5,"0,13",1,"0,03",39,36
191,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,MUNICIPAL,Tarapacá,POZO ALMONTE,RURAL,0,"0,00",0,"0,00",4,"0,05",1,"0,01",43,"0,50",56,"0,55",17,"0,20",26,"0,26",22,"0,26",18,"0,18",7,"0,08",3,"0,03",86,101
12759,LICEO CAMIÑA,MUNICIPAL,Tarapacá,CAMIÑA,RURAL,0,"0,00",0,"0,00",0,"0,00",0,"0,00",3,"0,50",8,"0,73",3,"0,50",3,"0,27",0,"0,00",0,"0,00",0,"0,00",0,"0,00",6,11
178,LICEO TECNICO PROFESIONAL COLCHANE,MUNICIPAL,Tarapacá,COLCHANE,RURAL,0,"0,00",0,"0,00",0,"0,00",0,"0,00",7,"0,78",1,"0,50",2,"0,22",1,"0,50",0,"0,00",0,"0,00",3,"0,33",0,"0,00",9,2
161,LICEO DE HUARA,MUNICIPAL,Tarapacá,HUARA,RURAL,0,"0,00",0,"0,00",0,"0,00",0,"0,00",11,"0,92",7,"0,58",1,"0,08",3,"0,25",0,"0,00",2,"0,17",1,"0,08",0,"0,00",12,12
12551,LIC.PADRE ALBERTO HURTADO CRUCHAGA,MUNICIPAL,Tarapacá,PICA,URBANO,1,"0,03",0,"0,00",2,"0,06",0,"0,00",20,"0,63",20,"0,69",9,"0,28",8,"0,28",0,"0,00",1,"0,03",3,"0,09",2,"0,07",32,29
279,LICEO INDUSTRIAL EULOGIO GORDO MONEO,MUNICIPAL,Antofagasta,ANTOFAGASTA,URBANO,5,"0,02",2,"0,01",14,"0,04",6,"0,04",134,"0,40",66,"0,47",101,"0,30",42,"0,30",79,"0,24",25,"0,18",14,"0,04",4,"0,03",333,141
280,LICEO COMERCIAL JERARDO MUNOZ CAMPO,MUNICIPAL,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",1,"0,01",10,"0,06",5,"0,03",67,"0,43",116,"0,58",55,"0,35",56,"0,28",25,"0,16",21,"0,11",2,"0,01",3,"0,02",157,199
283,LICEO TECNICO DE ANTOFAGASTA,MUNICIPAL,Antofagasta,ANTOFAGASTA,URBANO,1,"0,02",1,"0,00",1,"0,02",4,"0,02",21,"0,45",134,"0,51",18,"0,38",89,"0,34",6,"0,13",33,"0,13",5,"0,11",11,"0,04",47,261
284,LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA,MUNICIPAL,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",8,"0,09",1,"0,02",40,"0,45",20,"0,49",27,"0,31",15,"0,37",13,"0,15",5,"0,12",1,"0,01",1,"0,02",88,41
285,LICEO MARTA NAREA DIAZ,MUNICIPAL,Antofagasta,ANTOFAGASTA,URBANO,2,"0,02",0,"0,00",2,"0,02",0,"0,00",57,"0,54",75,"0,66",36,"0,34",30,"0,26",9,"0,08",9,"0,08",4,"0,04",4,"0,04",106,114
286,LICEO LA PORTADA,MUNICIPAL,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",6,"0,05",3,"0,03",56,"0,48",57,"0,56",44,"0,38",34,"0,34",10,"0,09",7,"0,07",12,"0,10",11,"0,11",116,101
287,LICEO DOMINGO HERRERA RIVERA,MUNICIPAL,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",1,"0,01",4,"0,05",6,"0,04",39,"0,47",75,"0,44",25,"0,30",55,"0,33",15,"0,18",32,"0,19",4,"0,05",6,"0,04",83,169
304,LICEO ANDRES SABELLA,MUNICIPAL,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",2,"0,03",3,"0,04",27,"0,37",32,"0,38",23,"0,32",31,"0,36",21,"0,29",19,"0,22",0,"0,00",1,"0,01",73,85
335,COLEGIO EVANGELICO JOSE LANCASTER,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,1,"0,08",0,"0,00",4,"0,31",0,"0,00",5,"0,38",7,"0,50",3,"0,23",5,"0,36",0,"0,00",2,"0,14",0,"0,00",0,"0,00",13,14
336,LICEO EXPERIMENTAL ARTISTICO-APLICACION,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",1,"0,02",7,"0,11",4,"0,06",27,"0,44",43,"0,65",20,"0,33",15,"0,23",7,"0,11",3,"0,05",5,"0,08",4,"0,06",61,66
337,ESCUELA PARTICULAR SANTA TERESITA,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",3,"0,10",0,"0,00",13,"0,42",25,"0,58",10,"0,32",13,"0,30",5,"0,16",5,"0,12",1,"0,03",0,"0,00",31,43
341,ESCUELA PARTICULAR ADVENTISTA,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",0,"0,00",0,"0,00",8,"0,21",23,"0,58",26,"0,68",14,"0,35",4,"0,11",3,"0,08",0,"0,00",0,"0,00",38,40
342,COLEGIO INGLES SAN JOSE,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,1,"0,02",0,"0,00",1,"0,02",1,"0,01",28,"0,47",31,"0,43",20,"0,33",29,"0,40",10,"0,17",11,"0,15",2,"0,03",2,"0,03",60,72
344,COLEGIO SANTA EMILIA,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",1,"0,03",0,"0,00",12,"0,40",28,"0,62",8,"0,27",13,"0,29",9,"0,30",4,"0,09",2,"0,07",0,"0,00",30,45
356,ESCUELA PARTICULAR CORAZON DE MARIA,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,1,"0,03",1,"0,03",3,"0,08",3,"0,08",17,"0,44",21,"0,53",15,"0,38",13,"0,33",3,"0,08",2,"0,05",1,"0,03",0,"0,00",39,40
365,COLEGIO EAGLE SCHOOL,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",1,"0,02",2,"0,06",3,"0,07",17,"0,47",21,"0,48",8,"0,22",15,"0,34",9,"0,25",4,"0,09",0,"0,00",2,"0,05",36,44
10968,LICEO MAYOR GRAL.(E) OSCAR BONILLA,MUNICIPAL,Antofagasta,ANTOFAGASTA,URBANO,1,"0,00",0,"0,00",3,"0,01",0,"0,00",81,"0,35",38,"0,53",84,"0,36",26,"0,36",65,"0,28",8,"0,11",15,"0,06",1,"0,01",234,72
12802,FUND.EDUC.COL.FEMENINO MADRE DEL ROSARIO,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,0,0,"0,00",0,0,0,"0,00",0,0,32,"0,89",0,0,3,"0,08",0,0,1,"0,03",0,0,0,"0,00",0,36
12830,LICEO DE ESTUDIOS CONTABLES Y ADMINISTR.,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,1,"0,02",0,"0,00",5,"0,08",7,"0,05",25,"0,42",73,"0,50",17,"0,28",46,"0,31",12,"0,20",21,"0,14",2,"0,03",7,"0,05",60,147
12837,COLEGIO PARTICULAR BET- EL,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",0,"0,00",0,"0,00",11,"0,69",19,"0,83",4,"0,25",4,"0,17",1,"0,06",0,"0,00",0,"0,00",1,"0,04",16,23
12855,LICEO COMERCIAL COMPUTACIONAL STA SARA,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",1,"0,03",2,"0,09",1,"0,03",11,"0,50",15,"0,41",4,"0,18",8,"0,22",5,"0,23",12,"0,32",0,"0,00",0,"0,00",22,37
12868,COLEGIO EBEN EZER,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",1,"0,14",3,"0,08",3,"0,43",18,"0,50",2,"0,29",11,"0,31",1,"0,14",4,"0,11",0,"0,00",0,"0,00",7,36
12885,COLEGIO SAN AGUSTIN,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",0,"0,00",2,"0,04",17,"0,45",33,"0,58",12,"0,32",19,"0,33",9,"0,24",3,"0,05",1,"0,03",2,"0,04",38,57
12891,NEW HEAVEN HIGH SCHOOL,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",1,"0,02",2,"0,03",23,"0,40",37,"0,51",28,"0,49",27,"0,37",5,"0,09",7,"0,10",1,"0,02",0,"0,00",57,73
12935,COLEGIO PROVIDENCIA,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",0,"0,00",1,"0,02",24,"0,56",23,"0,55",12,"0,28",13,"0,31",7,"0,16",5,"0,12",0,"0,00",2,"0,05",43,42
12943,COLEGIO TECNICO INDUSTRIAL DON BOSCO,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,1,"0,00",0,0,8,"0,04",0,0,99,"0,47",0,0,53,"0,25",0,0,49,"0,23",0,0,5,"0,02",0,0,210,0
12958,THE GIANT SCHOOL ANTOFAGASTA,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",0,"0,00",1,"0,03",6,"0,32",22,"0,65",8,"0,42",8,"0,24",5,"0,26",3,"0,09",2,"0,11",1,"0,03",19,34
12963,THE ANTOFAGASTA BAPTIST COLLEGE,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,2,"0,03",0,"0,00",3,"0,04",2,"0,04",39,"0,57",38,"0,70",20,"0,29",10,"0,19",5,"0,07",4,"0,07",0,"0,00",0,"0,00",69,54
12970,NORTH COLLEGE,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",0,"0,00",0,"0,00",5,"0,19",28,"0,88",19,"0,70",3,"0,09",3,"0,11",1,"0,03",0,"0,00",0,"0,00",27,32
12977,HARVEST CHRISTIAN SCHOOL,PARTICULAR SUBVENCIONADO,Antofagasta,ANTOFAGASTA,URBANO,0,"0,00",0,"0,00",5,"0,12",1,"0,03",21,"0,50",11,"0,37",6,"0,14",12,"0,40",10,"0,24",6,"0,20",1,"0,02",1,"0,03",42,30
